degree_program,motivation_required_degree,motivation_keep_current,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_certifications,motivation_financial,motivation_personal_enrichment,motivation_curiosity
arts_comm,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
social_science_education,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
arts_comm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
stem,No,Yes,No,No,No,No,No,No,No,No,No
arts_comm,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
arts_comm,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
social_science_education,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
health,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
arts_comm,Yes,No,No,No,No,No,No,No,No,No,No
arts_comm,Yes,No,No,No,No,No,No,No,No,No,No
health,Yes,Yes,Yes,No,No,No,No,No,No,No,No
health,Yes,Yes,No,No,Yes,No,No,No,No,No,No
health,Yes,Yes,No,No,Yes,No,No,No,No,No,No
health,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
health,Yes,No,Yes,No,Yes,No,No,No,No,No,No
stem,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes
health,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
stem,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No
health,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
stem,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
health,Yes,No,No,No,No,No,No,No,No,No,No
stem,Yes,No,No,No,No,No,No,No,No,No,No
health,Yes,Yes,No,No,Yes,No,No,No,No,No,No
health,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
health,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes
arts_comm,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
health,Yes,No,No,No,Yes,No,No,No,No,Yes,No
stem,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
