prior_event_open_house,prior_event_instant_decision_day,prior_event_info_session,prior_event_titans_tuesday,prior_event_women_who_dare,prior_event_college_fair,interest_more_courses
Yes,Yes,No,No,No,Yes,2
No,No,No,No,No,No,3
Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,5
Yes,No,No,No,No,No,3
No,No,No,No,No,No,3
No,No,No,Yes,No,No,3
Not Sure,No,Not Sure,No,No,No,3
No,No,No,No,No,No,3
No,No,No,No,No,No,2
No,No,No,No,No,No,1
No,No,No,No,No,No,2
No,No,Yes,No,No,No,2
No,No,Yes,No,No,No,2
No,No,Yes,Yes,No,No,1
No,No,No,No,No,No,2
No,No,No,No,No,No,2
No,No,No,No,No,No,2
No,No,No,No,No,No,2
No,No,Yes,No,No,No,4
No,No,No,No,No,No,2
Yes,No,No,Yes,No,No,3
Yes,No,Yes,No,No,No,2
No,No,No,No,No,No,2
No,No,No,No,No,No,3
No,No,No,No,No,No,5
Yes,No,Not Sure,No,No,No,2
No,No,No,No,No,No,2
Yes,No,Yes,No,No,No,2
No,No,Yes,No,No,No,3
No,No,No,Yes,No,No,2
No,No,No,No,No,Not Sure,2
No,No,No,No,No,No,4
Yes,No,Yes,No,No,No,1
No,No,Not Sure,No,No,No,3
No,No,No,No,No,No,1
No,No,No,No,No,No,1
No,No,No,No,No,No,3
No,No,No,No,No,No,1
No,No,No,No,No,No,3
No,No,No,No,No,No,2
No,No,No,No,No,No,5
No,No,No,No,No,No,5
Yes,Yes,Yes,No,No,No,1
No,No,No,No,No,No,1
No,No,No,No,No,No,5
No,No,No,No,No,No,3
No,No,No,No,No,No,3
No,No,No,No,No,No,3
No,No,No,No,No,No,4
No,No,No,No,No,No,1
Yes,Not Sure,Yes,No,Not Sure,No,4
Yes,No,Yes,No,No,No,5
No,No,No,No,No,No,3
No,No,No,No,No,No,3
Not Sure,No,Yes,Yes,No,No,2
No,No,No,No,No,No,1
No,No,No,No,No,No,3
No,No,No,No,No,No,4
Yes,No,No,Not Sure,Not Sure,Not Sure,3
Not Sure,No,No,No,No,No,2
No,No,No,No,No,No,3
No,No,No,No,No,No,1
Yes,No,No,No,No,No,1
No,No,No,No,No,No,2
No,No,No,No,No,No,3
Yes,Yes,Yes,No,No,Yes,2
Yes,No,No,No,No,No,3
No,No,No,No,No,No,3
No,No,No,No,No,Yes,3
Yes,No,Yes,Yes,No,No,2
Yes,No,No,No,No,Yes,2
Yes,No,Yes,No,No,Yes,1
No,No,Yes,No,No,No,1
No,No,No,No,No,No,3
Yes,No,Yes,No,No,No,2
Yes,No,Yes,No,No,No,3
No,No,No,No,No,No,3
No,No,No,No,No,No,3
Yes,No,No,No,No,No,3
No,No,No,No,No,No,4
No,No,No,Yes,No,No,2
No,No,No,No,No,No,2
No,No,No,No,No,No,3
No,No,No,No,No,No,1
No,No,No,No,No,No,1
Yes,No,No,No,No,No,3
No,No,No,No,No,No,5
No,No,No,No,No,No,3
Yes,No,No,No,No,No,3
Yes,No,Yes,No,No,No,1
No,No,No,No,No,No,3
No,No,No,Yes,No,No,5
