age,course_interest_web_dev,course_interest_cybersecurity,course_interest_app_dev,course_interest_data_analytics,course_interest_ml_ai,course_interest_programming,course_interest_game_design,course_interest_hardware
19-20,Yes,Yes,No,No,No,No,No,No
19-20,No,Yes,Yes,Yes,Yes,Yes,No,No
18 and younger,Yes,No,Yes,No,Yes,Yes,Yes,Yes
19-20,No,No,No,Yes,No,No,Yes,No
19-20,No,No,No,No,No,No,No,No
19-20,Yes,No,Yes,No,No,No,Yes,No
19-20,No,No,No,No,No,No,Yes,No
18 and younger,No,No,No,No,No,No,No,No
19-20,No,No,No,Yes,No,No,No,Yes
19-20,No,No,No,No,No,No,No,No
25-34,Yes,No,Yes,No,No,Yes,No,No
21-24,No,No,No,No,No,No,No,No
21-24,No,No,No,No,No,No,No,No
21-24,No,No,No,No,No,No,No,No
18 and younger,No,No,No,No,No,No,Yes,No
19-20,No,No,No,No,Yes,No,No,No
18 and younger,No,No,No,No,No,No,No,No
18 and younger,No,No,No,No,No,No,No,No
18 and younger,Yes,No,Yes,No,Yes,Yes,Yes,Yes
19-20,No,No,No,Yes,Yes,Yes,No,Yes
18 and younger,No,No,No,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
25-34,No,No,No,No,No,No,No,No
25-34,No,Yes,No,No,No,No,No,No
19-20,Yes,Yes,No,Yes,No,Yes,No,Yes
18 and younger,No,No,No,No,No,No,Yes,No
19-20,Yes,Yes,Yes,No,No,No,Yes,No
19-20,No,No,No,No,No,Yes,No,No
25-34,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
21-24,No,No,No,Yes,No,No,No,No
21-24,No,No,No,No,No,No,No,No
18 and younger,No,Yes,No,Yes,No,No,Yes,No
18 and younger,Yes,No,Yes,No,Yes,No,Yes,No
35-64,No,Yes,No,Yes,No,No,No,Yes
21-24,No,Yes,No,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
21-24,Yes,No,Yes,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
19-20,No,Yes,No,No,No,No,No,No
19-20,No,No,No,No,Yes,No,No,No
21-24,Yes,No,No,No,Yes,Yes,No,No
18 and younger,No,Yes,No,No,Yes,No,Yes,No
19-20,No,No,No,No,No,No,No,No
18 and younger,No,No,No,No,No,No,No,No
25-34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21-24,Yes,No,Yes,Yes,Yes,Yes,No,No
21-24,No,No,No,No,No,No,No,No
19-20,No,Yes,Yes,No,No,No,Yes,No
19-20,No,No,No,No,Yes,No,Yes,No
19-20,No,No,No,No,No,No,No,No
19-20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25-34,No,Yes,No,Yes,Yes,Yes,Yes,Yes
19-20,No,Yes,Yes,No,No,Yes,Yes,Yes
35-64,No,No,No,No,No,No,No,No
19-20,No,No,No,Yes,No,No,No,Yes
25-34,No,No,No,No,No,No,No,No
18 and younger,No,No,Yes,No,Yes,No,Yes,No
19-20,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21-24,No,Yes,Yes,No,Yes,Yes,Yes,No
19-20,Yes,Yes,Yes,Yes,No,Yes,No,No
21-24,Yes,Yes,Yes,Yes,Yes,Yes,No,No
19-20,No,No,No,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
25-34,No,No,No,No,No,No,No,No
25-34,No,Yes,No,Yes,Yes,No,Yes,Yes
19-20,No,Yes,No,Yes,Yes,No,No,Yes
19-20,No,No,Yes,No,No,No,Yes,No
19-20,No,No,No,Yes,No,Yes,No,Yes
18 and younger,No,Yes,Yes,No,Yes,Yes,Yes,No
19-20,Yes,No,No,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
21-24,No,No,No,No,No,No,No,No
21-24,Yes,Yes,No,No,Yes,No,No,Yes
19-20,No,No,No,No,No,No,Yes,No
19-20,No,No,No,No,No,No,No,No
35-64,Yes,No,No,No,No,No,No,Yes
35-64,No,No,No,No,No,No,No,Yes
19-20,No,Yes,No,No,No,No,No,No
25-34,Yes,Yes,Yes,No,Yes,No,No,No
35-64,No,No,No,No,No,No,No,No
21-24,No,No,No,No,No,No,No,No
19-20,No,Yes,No,No,No,No,Yes,Yes
19-20,No,No,No,No,No,No,No,No
19-20,No,No,No,No,No,No,No,No
35-64,No,Yes,No,Yes,Yes,No,No,No
25-34,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
21-24,No,Yes,No,No,No,Yes,Yes,No
19-20,Yes,Yes,Yes,No,No,No,No,No
19-20,No,No,No,No,Yes,No,Yes,No
19-20,No,No,No,No,No,No,No,No
21-24,No,No,No,No,Yes,No,No,Yes
